city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00,29.5,30.4,92
bengaluru,2025-12-11 01:00:00,29.0,29.7,86
bengaluru,2025-12-11 02:00:00,30.2,30.7,79
bengaluru,2025-12-11 03:00:00,27.1,27.4,82
bengaluru,2025-12-11 04:00:00,21.7,22.0,105
bengaluru,2025-12-11 05:00:00,18.5,18.9,139
bengaluru,2025-12-11 06:00:00,16.8,17.2,163
bengaluru,2025-12-11 07:00:00,16.3,16.6,171
bengaluru,2025-12-11 08:00:00,15.7,16.0,169
bengaluru,2025-12-11 09:00:00,15.0,15.3,163
bengaluru,2025-12-11 10:00:00,14.6,15.0,152
bengaluru,2025-12-11 11:00:00,14.6,15.0,136
bengaluru,2025-12-11 12:00:00,18.1,18.4,119
bengaluru,2025-12-11 13:00:00,24.0,24.3,102
bengaluru,2025-12-11 14:00:00,27.8,28.2,84
bengaluru,2025-12-11 15:00:00,30.3,30.7,72
bengaluru,2025-12-11 16:00:00,32.5,32.9,68
bengaluru,2025-12-11 17:00:00,34.9,35.5,68
bengaluru,2025-12-11 18:00:00,36.6,37.3,70
bengaluru,2025-12-11 19:00:00,36.8,37.6,72
bengaluru,2025-12-11 20:00:00,37.0,38.0,74
bengaluru,2025-12-11 21:00:00,37.4,38.4,77
bengaluru,2025-12-11 22:00:00,37.1,38.3,80
bengaluru,2025-12-11 23:00:00,36.9,38.2,82
bengaluru,2025-12-12 00:00:00,37.0,38.5,83
bengaluru,2025-12-12 01:00:00,40.5,42.1,77
bengaluru,2025-12-12 02:00:00,48.8,50.4,69
bengaluru,2025-12-12 03:00:00,42.0,43.1,72
bengaluru,2025-12-12 04:00:00,24.4,25.7,96
bengaluru,2025-12-12 05:00:00,19.5,20.8,131
bengaluru,2025-12-12 06:00:00,18.2,19.8,157
bengaluru,2025-12-12 07:00:00,18.1,20.0,168
bengaluru,2025-12-12 08:00:00,18.1,20.1,171
bengaluru,2025-12-12 09:00:00,18.2,20.3,169
bengaluru,2025-12-12 10:00:00,18.6,20.7,160
bengaluru,2025-12-12 11:00:00,19.3,21.3,146
bengaluru,2025-12-12 12:00:00,23.9,25.6,130
bengaluru,2025-12-12 13:00:00,30.6,32.4,112
bengaluru,2025-12-12 14:00:00,35.4,37.3,93
bengaluru,2025-12-12 15:00:00,38.9,40.7,79
bengaluru,2025-12-12 16:00:00,41.4,43.5,74
bengaluru,2025-12-12 17:00:00,44.6,46.9,74
bengaluru,2025-12-12 18:00:00,46.7,49.1,76
bengaluru,2025-12-12 19:00:00,46.7,49.4,79
bengaluru,2025-12-12 20:00:00,47.0,49.8,83
bengaluru,2025-12-12 21:00:00,47.6,50.5,87
bengaluru,2025-12-12 22:00:00,48.3,51.5,91
bengaluru,2025-12-12 23:00:00,49.1,52.4,94
