date,hour,temperature_c
2025-12-11,0,10.8
2025-12-11,1,10.45
2025-12-11,2,10.25
2025-12-11,3,10.350000000000001
2025-12-11,4,10.4
2025-12-11,5,10.2
2025-12-11,6,10.05
2025-12-11,7,10.55
2025-12-11,8,12.65
2025-12-11,9,14.55
2025-12-11,10,15.95
2025-12-11,11,16.650000000000002
2025-12-11,12,17.05
2025-12-11,13,17.25
2025-12-11,14,17.3
2025-12-11,15,17.2
2025-12-11,16,16.7
2025-12-11,17,15.3
2025-12-11,18,13.75
2025-12-11,19,12.75
2025-12-11,20,12.05
2025-12-11,21,11.5
2025-12-11,22,11.0
2025-12-11,23,10.399999999999999
