time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,6.8,97,21.2,2025-12-11,0,cold,4.859999999999999
2025-12-11 01:00:00,6.7,99,28.1,2025-12-11,1,cold,4.720000000000001
2025-12-11 02:00:00,6.8,100,29.9,2025-12-11,2,cold,4.8
2025-12-11 03:00:00,7.4,98,28.4,2025-12-11,3,cold,5.44
2025-12-11 04:00:00,7.9,97,29.9,2025-12-11,4,cold,5.960000000000001
2025-12-11 05:00:00,7.9,93,34.2,2025-12-11,5,cold,6.04
2025-12-11 06:00:00,7.9,92,35.6,2025-12-11,6,cold,6.0600000000000005
2025-12-11 07:00:00,7.8,94,32.4,2025-12-11,7,cold,5.92
2025-12-11 08:00:00,7.8,95,29.9,2025-12-11,8,cold,5.9
2025-12-11 09:00:00,7.5,100,29.9,2025-12-11,9,cold,5.5
2025-12-11 10:00:00,7.6,99,31.0,2025-12-11,10,cold,5.619999999999999
2025-12-11 11:00:00,7.2,100,29.5,2025-12-11,11,cold,5.2
2025-12-11 12:00:00,6.8,100,29.2,2025-12-11,12,cold,4.8
2025-12-11 13:00:00,6.5,100,24.8,2025-12-11,13,cold,4.5
2025-12-11 14:00:00,6.5,100,24.1,2025-12-11,14,cold,4.5
2025-12-11 15:00:00,6.7,97,24.8,2025-12-11,15,cold,4.76
2025-12-11 16:00:00,6.8,96,26.3,2025-12-11,16,cold,4.88
2025-12-11 17:00:00,7.0,95,25.6,2025-12-11,17,cold,5.1
2025-12-11 18:00:00,7.0,94,24.5,2025-12-11,18,cold,5.12
2025-12-11 19:00:00,7.0,97,24.8,2025-12-11,19,cold,5.0600000000000005
2025-12-11 20:00:00,7.1,96,23.0,2025-12-11,20,cold,5.18
2025-12-11 21:00:00,6.9,96,23.0,2025-12-11,21,cold,4.98
2025-12-11 22:00:00,6.8,98,24.5,2025-12-11,22,cold,4.84
2025-12-11 23:00:00,6.6,100,22.7,2025-12-11,23,cold,4.6
